dataset,k_cross,rep,fitness,accuracy,spearman_corr,spearman_p,theta,beta,gamma
digits,1,5,0.46787455887187024,0.9388888888888889,0.2920776271480155,1.2495737792862448e-40,0.25,0.75,0.25
digits,2,1,0.4384189108303405,0.9583333333333334,0.27191659062927903,3.0732741133781394e-35,0.25,0.75,0.25
digits,2,2,0.45768445760649634,0.95,0.06579070847809367,0.0032441906002484804,0.25,0.75,0.25
digits,2,3,0.44375617593504113,0.9472222222222222,-0.06863225983616464,0.0021332124828594545,0.25,0.75,0.25
digits,2,4,0.4640470976180046,0.9388888888888889,0.2480642085927782,1.9908637106985876e-29,0.25,0.75,0.25
digits,2,5,0.5127189693410246,0.9388888888888889,-0.17553571146038086,2.6418626296830126e-15,0.25,0.75,0.25
digits,3,1,0.44931987686255553,0.8969359331476323,0.18796723234348975,2.3195561894582635e-17,0.25,0.75,0.25
digits,3,2,0.43783456066648696,0.9052924791086351,-0.0916678632478051,4.032755728229062e-05,0.25,0.75,0.25
digits,3,3,0.4589301623996116,0.9080779944289693,0.4895068101714822,5.1588918787736325e-121,0.25,0.75,0.25
digits,3,4,0.5015810736398978,0.9192200557103064,0.5392653380094249,2.7093759886114242e-151,0.25,0.75,0.25
digits,3,5,0.42904248644135523,0.8969359331476323,0.10314012814156648,3.80032253633041e-06,0.25,0.75,0.25
digits,4,1,0.4455468946721815,0.9303621169916435,0.3102181820306885,7.198034500931732e-46,0.25,0.75,0.25
digits,4,2,0.4375683649220711,0.958217270194986,0.4602147867118563,2.132606416862991e-105,0.25,0.75,0.25
digits,4,3,0.48442844110656663,0.9387186629526463,0.7859025465122522,0.0,0.25,0.75,0.25
digits,4,4,0.4475779851987383,0.9442896935933147,0.4699408671433013,2.0480655127233888e-110,0.25,0.75,0.25
digits,4,5,0.4597045625213708,0.9526462395543176,0.051979265920827473,0.020087915896374514,0.25,0.75,0.25
digits,5,1,0.46578320385220395,0.9387186629526463,0.12746699264878955,1.0634804063536333e-08,0.25,0.75,0.25
digits,5,2,0.4654633728548737,0.9220055710306406,-0.010187723265074347,0.6488676649876133,0.25,0.75,0.25
digits,5,3,0.4373620430007949,0.9220055710306406,0.2790307303591264,4.328488690992317e-37,0.25,0.75,0.25
digits,5,4,0.4737252277233094,0.9526462395543176,0.46369700897299254,3.557193886531045e-107,0.25,0.75,0.25
digits,5,5,0.4446777418171396,0.9331476323119777,0.06567755825800962,0.0032977655173315142,0.25,0.75,0.25
digits,1,1,0.4911396902846378,0.9277777777777778,0.12272006161451558,3.679163489920863e-08,0.25,0.75,0.5
digits,1,2,0.4335339311427904,0.9388888888888889,0.3943956384273382,2.0087220326053227e-75,0.25,0.75,0.5
digits,1,3,0.42503635195077005,0.9472222222222222,0.011949982144623787,0.5932692993211297,0.25,0.75,0.5
digits,1,4,0.44904677957269623,0.9444444444444444,0.47598782238001275,1.2852391385806434e-113,0.25,0.75,0.5
digits,1,5,0.4418484843229714,0.9416666666666667,0.10452102781762491,2.810073041072482e-06,0.25,0.75,0.5
digits,2,1,0.46225442688740004,0.9472222222222222,0.2843658045336045,1.6282285856751843e-38,0.25,0.75,0.5
digits,2,2,0.4468503706843024,0.9388888888888889,0.006795296572057884,0.7613500437453988,0.25,0.75,0.5
digits,2,3,0.4357737138508792,0.9444444444444444,-0.07595412921713048,0.0006749440663128946,0.25,0.75,0.5
digits,2,4,0.4521855562161069,0.9444444444444444,0.018385447587485507,0.4112034673493825,0.25,0.75,0.5
digits,2,5,0.4435835058587906,0.9138888888888889,-0.19862888151510694,3.0501177294633156e-19,0.25,0.75,0.5
digits,3,1,0.4347834911765607,0.8969359331476323,0.028632659712658822,0.20056154578068328,0.25,0.75,0.5
digits,3,2,0.44235264474853214,0.8913649025069638,-0.1630510948572124,2.193260626001844e-13,0.25,0.75,0.5
digits,3,3,0.4687704452232947,0.8997214484679665,0.22715798567472834,8.045759408655652e-25,0.25,0.75,0.5
digits,3,4,0.43867381930379834,0.871866295264624,0.155044640731179,3.1320205598081606e-12,0.25,0.75,0.5
digits,3,5,0.44848234968772926,0.8941504178272981,0.15061829120664116,1.2851564415530086e-11,0.25,0.75,0.5
digits,4,1,0.43723732256678677,0.9275766016713092,0.3467417986132604,1.3641061282741658e-57,0.25,0.75,0.5
digits,4,2,0.41836313689829063,0.958217270194986,0.49052819017487037,1.3808095593521616e-121,0.25,0.75,0.5
