dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
pima,3,3,0.5,0.5,0.05,0.5691300581616641,-0.248698655460795,1.4197745238514077e-29,0.7291666666666666,0.7151927437641723,0.6677271120537293,0.6756335282651073
pima,4,1,0.5,0.5,0.05,0.5971530841555649,-0.1016410626705401,5.2514357188534895e-06,0.7447916666666666,0.7326388888888888,0.6894662424885118,0.6988379909728224
pima,4,2,0.5,0.5,0.05,0.6033035580763965,0.00567284679331901,0.7998502948631442,0.7552083333333334,0.7356060606060606,0.7198656769176388,0.725672594619243
pima,4,3,0.5,0.5,0.05,0.5744085571143327,0.31143451108440784,3.1073545242032584e-46,0.7291666666666666,0.7078865209719016,0.68045245669848,0.6876486046802652
pima,1,1,0.5,0.75,0.01,0.6944289681381334,-0.5850330140778724,5.221535080625963e-184,0.6666666666666666,0.6341823551125876,0.6284906327324143,0.6305916305916306
pima,1,2,0.5,0.75,0.01,0.6970148741638607,0.16746876810946695,4.770783539873846e-14,0.734375,0.7118266978922716,0.7131495227995758,0.7124651299368667
pima,1,3,0.5,0.75,0.01,0.675215386238259,-0.4536440431776105,4.2448310795816125e-102,0.7239583333333334,0.6994949494949495,0.6954754330151998,0.6972780008924587
pima,2,1,0.5,0.75,0.01,0.695148325990731,0.09484517085655549,2.1517462238174658e-05,0.7760416666666666,0.7427536231884058,0.7263796771367789,0.7331178277032488
pima,2,2,0.5,0.75,0.01,0.69852155266025,-0.1310882200253156,4.000179864158749e-09,0.7760416666666666,0.750921375921376,0.7044800400450506,0.7181771633384537
pima,2,3,0.5,0.75,0.01,0.6598425924869393,-0.12175261377044844,4.711485400594e-08,0.828125,0.8071658615136876,0.7864472531598048,0.7951834491676095
pima,3,1,0.5,0.75,0.01,0.7204157798368385,-0.19762755651426467,4.630631149790331e-19,0.703125,0.6755494505494506,0.6505832449628844,0.6560977909059486
pima,3,2,0.5,0.75,0.01,0.6830124189678666,0.3931843849050765,6.224334646976734e-75,0.7708333333333334,0.7656629085200514,0.7193354542241075,0.7308525551166051
pima,3,3,0.5,0.75,0.01,0.6862283702946402,0.1725672534777413,7.787847033879763e-15,0.75,0.7382617382617382,0.6967126193001061,0.706384605581751
pima,4,1,0.5,0.75,0.01,0.7113429748470897,-0.1829872746943589,1.609887312607147e-16,0.7083333333333334,0.6861678004535148,0.6451042771297277,0.650682261208577
pima,4,2,0.5,0.75,0.01,0.7132385863338944,-0.27429725461076343,7.485508754277705e-36,0.71875,0.6958698372966208,0.6659597030752916,0.6727272727272727
pima,4,3,0.5,0.75,0.01,0.6566344400427593,-0.21549868580765585,1.9169660437421825e-22,0.703125,0.6751207729468599,0.6537645811240721,0.6590972806279787
pima,1,1,0.5,0.75,0.05,0.6918822936712525,0.008586832525808266,0.7011401627051641,0.7447916666666666,0.7236111111111111,0.7276422764227641,0.7254180894842834
pima,1,2,0.5,0.75,0.05,0.6839276727324528,-0.38279321485332896,8.396759627314847e-71,0.6614583333333334,0.6302308802308803,0.6276069282431955,0.6287371709058456
